Code commune,Libellé de la commune,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,Ordre_candidat,D_elec_2020
01004,Ambérieu-en-Bugey,LDVD,M,FABRE,Daniel,PAROLE  AUX AMBARROIS,27,0.0,7.0,2678.0,32.67,61.31,3,0.0
01007,Ambronay,LDVG,F,LEVRAT,Gisèle,AMBRONAY POUR TOUS,14,0.0,2.0,610.0,34.46,46.78,1,1.0
01034,Belley,LDVD,M,JIMENEZ,Christian,BELLEY NOUVEL HORIZON 2014,22,0.0,14.0,2029.0,35.72,51.17,2,0.0
01160,Ferney-Voltaire,LDVD,M,RAPHOZ,Daniel,FERNEY-VOLTAIRE VALEURS COMMUNES,22,0.0,4.0,1075.0,26.41,50.45,2,0.0
01185,Hauteville-Lompnes,LUDI,M,ARGENTI,Bernard,OSONS L'AVENIR,22,0.0,6.0,815.0,36.19,61.28,2,0.0
01194,Jassans-Riottier,LDIV,M,REVERCHON,Jean-Pierre,UN SOUFFLE NOUVEAU POUR JASSANS,23,0.0,3.0,1538.0,38.78,56.77,1,0.0
01249,Miribel,LDVG,F,VIRICEL,Sylvie,MIRIBEL COMME VOUS L'AIMEZ,22,0.0,10.0,1771.0,27.14,48.11,2,1.0
01262,Montluel,LDVD,M,DAUBIE,Romain,VIVONS MONTLUEL ENSEMBLE,23,0.0,8.0,1577.0,35.9,56.58,2,0.0
01263,Montmerle-sur-Saône,LDVD,M,LAMURE,Raphaël,MONTMERLE AVEC VOUS,21,0.0,7.0,869.0,32.45,50.26,2,0.0
01290,Pérouges,LVEC,M,VERNAY,Paul,PEROUGES POUR TOUS,11,0.0,2.0,290.0,30.27,42.65,1,1.0
01303,Poncin,LDVD,M,GIROUX,Jean-Michel,UNIS POUR PONCIN,14,0.0,3.0,392.0,34.97,47.69,3,0.0
01314,Priay,LDIV,M,THEVEAUX,Gérard,Vivre à Priay,15,0.0,2.0,404.0,37.3,52.06,1,0.0
01371,Saint-Marcel,LDIV,M,PETRONE,Dominique,"UN VILLAGE, UNE EQUIPE, UN MAIRE",12,0.0,2.0,286.0,32.91,48.23,2,0.0
02173,Chauny,LDVD,M,LALONDE,Marcel,Action pour l'Avenir de Chauny,26,0.0,10.0,2246.0,28.6,55.84,2,0.0
