Code du département_x,Libellé du département,Nom de l'élu,Prénom de l'élu,Code commune,Libellé commune,Nuance Liste,D_elec_2020
1,Ain,FABRE,Daniel,01004,Ambérieu-en-Bugey,LDVC,0.0
1,Ain,MANCUSO,Vincent,01007,Ambronay,,
1,Ain,CRACCHIOLO,Philippe,01014,Arbent,,
1,Ain,PACCAUD,Richard,01021,Ars-sur-Formans,,
1,Ain,DESCHAMPS,Roland,01022,Artemare,,
1,Ain,MARTIN,Walter,01024,Attignat,,
1,Ain,BERNIGAUD,Christian,01025,Bâgé-Dommartin,LDIV,0.0
1,Ain,MEANT,Patrick,01027,Balan,,
1,Ain,RAVET,Véronique,01031,Bellignat,LDVG,1.0
1,Ain,PETIT,Régis,01033,Valserhône,LDVD,0.0
1,Ain,LAHUERTA,Dimitri,01034,Belley,LDVD,0.0
1,Ain,GODET,Pauline,01036,Valromey-sur-Seran,,
1,Ain,TERRIER,Caroline,01043,Beynost,LDVD,0.0
1,Ain,MARTIN,Daniel,01047,Blyes,,
1,Ain,RAPHANEL,Gérard,01049,La Boisse,,
1,Ain,DEBAT,Jean-François,01053,Bourg-en-Bresse,LUG,1.0
1,Ain,PERRET,Bernard,01054,Bourg-Saint-Christophe,,
1,Ain,LACHIZE PICCINO,Sandrine,01061,Brens,,
1,Ain,BOUVIER,Christophe,01071,Cessy,LDVD,0.0
1,Ain,FLOCHON,Jean-Yves,01072,Ceyzériat,,
1,Ain,KELLER,Myriam,01073,Ceyzérieu,,
1,Ain,CHARVIEUX,Bruno,01074,Chalamont,,
1,Ain,MOLINES,Lucien,01075,Chaleins,,
1,Ain,BRUNET,Joël,01089,Château-Gaillard,,
1,Ain,LAMY,Dominique,01092,Châtillon-la-Palud,,
1,Ain,MATHIAS,Patrick,01093,Châtillon-sur-Chalaronne,LDVD,0.0
1,Ain,LALLEMENT,Philip,01098,Chazey-Bons,,
1,Ain,ANDRÉ,Claire,01099,Chazey-sur-Ain,,
1,Ain,PORRETTI,Gérard,01105,Civrieux,,
1,Ain,RAFFIN,Bruno,01108,Coligny,,
1,Ain,PERREAL,Lionel,01109,Collonges,,
1,Ain,BUELLET,Jean Paul,01115,Confrançon,,
1,Ain,PALLOT,Jacques,01123,Cormoranche-sur-Saône,,
1,Ain,GRIGNOLA-BERNARD,Virginie,01130,Bresse Vallons,,
1,Ain,LHOTELAIS,Jean-Philippe,01134,Crottet,,
1,Ain,JOUANNET,Martine,01135,Crozet,,
1,Ain,ANDRE-MASSE,Franck,01138,Culoz,,
1,Ain,SCATTOLIN,Vincent,01143,Divonne-les-Bains,LDVD,0.0
1,Ain,TABOURET,Martine,01145,Dompierre-sur-Veyle,,
1,Ain,DUBARE,Marianne,01148,Dortan,,
1,Ain,LIMOUSIN,Christian,01149,Douvres,,
1,Ain,EMIN,Jean-Luc,01151,Druillat,,
1,Ain,PASSUELLO,Isabelle,01153,Echenevex,,
1,Ain,DUMOULIN,Yves,01157,Fareins,,
1,Ain,GRAZIOTTI,Monique,01158,Farges,,
1,Ain,BILLOUDET,Guy,01159,Feillens,,
1,Ain,RAPHOZ,Daniel,01160,Ferney-Voltaire,LDVD,0.0
1,Ain,PICARD,Jean-Luc,01163,Foissiat,,
1,Ain,LUX,Jean-Michel,01165,Francheleins,,
1,Ain,NUGUET,Michelle,01166,Frans,,
1,Ain,COMTET,Laurent,01170,Beard-Géovreissiat,,
1,Ain,DUNAND,Patrice,01173,Gex,LDVD,0.0
1,Ain,GREMY,Annick,01179,Grièges,,
1,Ain,DEGUERRY,Patricia,01181,Groissiat,,
1,Ain,CLEYET-MARREL,Claude,01183,Guéreins,,
1,Ain,EMIN,Philippe,01185,Plateau d'Hauteville,LDVD,0.0
1,Ain,COMUZZI,Sylvie,01192,Izernore,,
1,Ain,GOBERT,Sébastien,01195,Jasseron,,
1,Ain,MOREL,Mickaël,01196,Jayat,,
1,Ain,BOLLACHE,Anne,01199,Jujurieux,,
1,Ain,MOINGEON,André,01202,Lagnieu,LDVD,0.0
1,Ain,SCHAUVING,Sébastien,01203,Laiz,,
1,Ain,CRISTIN,Yves,01211,Lent,,
1,Ain,GAGNE,Jean Pierre,01224,Loyettes,,
1,Ain,LEROUX,Gary,01229,Malafretaz,,
1,Ain,LARDET,Denis,01231,Manziat,,
1,Ain,MOIRAUD,Christelle,01232,Marboz,,
1,Ain,GRANDJEAN,Jean-Paul,01235,Marlieux,,
1,Ain,ISSARTEL,Julien,01237,Martignat,,
1,Ain,NABETH,Patrick,01238,Massieux,,
1,Ain,ARRAGON,Jean-Pierre,01241,Meillonnas,,
1,Ain,RAMEL,Jean-Luc,01244,Meximieux,LDVD,0.0
1,Ain,DUPUIT,Guy,01246,Mézériat,,
1,Ain,GAITET,Jean-Pierre,01249,Miribel,LDVD,0.0
1,Ain,AUMONIER,Gabriel,01250,Misérieux,,
1,Ain,CHICHOUX,Yvan,01254,Montagnat,,
1,Ain,DESCHIZEAUX,Jean Claude,01258,Montceaux,,
1,Ain,PROST,Philippe,01263,Montmerle-sur-Saône,LDVD,0.0
1,Ain,LAFONT,David,01264,Montracol,,
1,Ain,DUFOUR,Patrick,01265,Montréal-la-Cluse,,
1,Ain,BREVET,Jean-Yves,01266,Montrevel-en-Bresse,,
1,Ain,BERGER,Arlette,01267,Nurieux-Volognat,,
1,Ain,THOMASSET,Jean-Pascal,01269,Nantua,LDVD,0.0
1,Ain,CHALAYER,Michel,01272,Neuville-les-Dames,,
1,Ain,DUPUIS,Thierry,01273,Neuville-sur-Ain,,
1,Ain,BATTISTA,Patrick,01276,Niévroz,,
1,Ain,PERRAUD,Michel,01283,Oyonnax,LDVD,0.0
1,Ain,BIENVENU,Bernard,01301,Polliat,,
1,Ain,GIROUX,Jean-Michel,01303,Poncin,,
1,Ain,PAUGET,Yves,01305,Pont-de-Vaux,,
1,Ain,CHARILLON,Aurélie,01313,Prévessin-Moëns,LDVD,0.0
1,Ain,CHARMETANT,Fabienne,01314,Priay,,
1,Ain,VERNOUX,Bertrand,01320,Replonges,LDVD,0.0
1,Ain,BONTEMPS-HESDIN,Carole,01322,Reyrieux,LDIV,0.0
1,Ain,LOREAU,Ludovic,01333,Saint-André-de-Corcy,,
1,Ain,QUIVET,Bernard,01336,Saint-André-sur-Vieux-Jonc,,
1,Ain,UNIA,Emily,01337,Saint-Bénigne,,
1,Ain,SOUDAN,Henri,01338,Groslée-Saint-Benoît,,
1,Ain,REY,Bernard,01339,Saint-Bernard,,
1,Ain,FAUVET,Guillaume,01344,Saint-Denis-lès-Bourg,LDVG,1.0
1,Ain,COLLIGNON,Pascal,01345,Saint-Denis-en-Bugey,,
1,Ain,VALLOS,Frédéric,01347,Saint-Didier-de-Formans,,
1,Ain,DUMAY,Renaud,01348,Saint-Didier-sur-Chalaronne,,
1,Ain,CHAPUIS,Alain,01350,Saint-Etienne-du-Bois,,
1,Ain,ALBAN,Didier,01353,Sainte-Euphémie,,
1,Ain,BERTRAND,Hubert,01354,Saint-Genis-Pouilly,LDVG,1.0
1,Ain,BRULHART,Michel,01360,Saint-Jean-de-Gonville,,
1,Ain,DALMAZ,Béatrice,01361,Saint-Jean-de-Niost,,
1,Ain,BATAILLY,Christian,01363,Saint-Jean-le-Vieux,,
1,Ain,RENOUD-LYAT DUPERRAY,Agnès,01365,Saint-Jean-sur-Veyle,,
1,Ain,CHAPPELLAZ,Lionel,01366,Sainte-Julie,,
1,Ain,PETRONE,Dominique,01371,Saint-Marcel,,
1,Ain,TURC,Dominique,01373,Saint-Martin-du-Frêne,,
1,Ain,DONGUY,Brigitte,01374,Saint-Martin-du-Mont,,
1,Ain,GOUBET,Pierre,01376,Saint-Maurice-de-Beynost,LDVG,1.0
1,Ain,VENET,Fabrice,01378,Saint-Maurice-de-Gourdans,,
1,Ain,MILLET,Patrick,01386,Saint-Sorlin-en-Bugey,,
1,Ain,LANIER,Marcel,01389,Saint-Trivier-sur-Moignans,,
1,Ain,JACQUIN,Marcel,01390,Saint-Vulbas,,
1,Ain,HENNIQUAU,Isabelle,01397,Sauverny,,
