Code commune,Libellé de la commune,N.Pan.,Code Nuance,Sexe,Nom,Prénom,Liste,Sièges / Elu,Sièges Secteur,Sièges CC,Voix,% Voix/Ins,% Voix/Exp,D_elec_2020
01034,Belley,4.0,LDVD,M,LAHUERTA,Dimitri,AGIR POUR BELLEY ET BUGEY SUD,23.0,0.0,12.0,1525.0,26.49,54.99,0.0
01160,Ferney-Voltaire,2.0,LDVD,M,RAPHOZ,Daniel,Ferney-Voltaire Valeurs Communes,23.0,0.0,5.0,747.0,19.67,50.4,0.0
01194,Jassans-Riottier,4.0,LDVD,M,REVERCHON,Jean-Pierre,JASSANS LA FORCE D'AGIR ENSEMBLE,23.0,0.0,5.0,856.0,19.65,52.16,0.0
01249,Miribel,1.0,LDVD,M,GAITET,Jean-Pierre,"Miribel pour tous, Miribel à tous",23.0,0.0,11.0,1391.0,20.32,50.73,0.0
01354,Saint-Genis-Pouilly,2.0,LDVG,M,BERTRAND,Hubert,"SAINT-GENIS-POUILLY, C'EST VOUS",25.0,0.0,5.0,867.0,17.29,46.12,1.0
01370,Saint-Laurent-sur-Saône,1.0,LNC,M,DOUSSOT,Jacques,AIMER SAINT LAURENT,15.0,0.0,1.0,266.0,27.48,56.48,0.0
01378,Saint-Maurice-de-Gourdans,1.0,LNC,M,VENET,Fabrice,Pour Saint Maurice : Engagement Ecoute Expérience,17.0,0.0,2.0,502.0,22.48,46.22,0.0
01389,Saint-Trivier-sur-Moignans,1.0,LNC,M,LANIER,Marcel,"Avec vous, CONTINUONS !",15.0,0.0,2.0,345.0,25.54,55.11,0.0
02003,Acy,1.0,LNC,M,MATHAUT,Dominique,bien vivre a acy,12.0,0.0,1.0,253.0,31.16,49.32,0.0
02086,Bichancourt,3.0,LNC,M,DEDUN,Patrick,ENSEMBLE DYNAMISONS BICHANCOURT,12.0,0.0,1.0,180.0,23.35,56.96,0.0
02226,Courmelles,3.0,LNC,M,SVRCEK,Arnaud,POUR COURMELLES UNISSONS NOS FORCES ET NOS IDÉES,15.0,0.0,1.0,402.0,28.61,51.28,0.0
02243,Crouy,2.0,LNC,M,PLATRIER,Claude,ACTION ET INNOVATION POUR CROUY,20.0,0.0,3.0,490.0,23.41,66.76,0.0
02245,Cuffies,1.0,LNC,M,CORNEILLE,Jean-Pierre,"ENSEMBLE, CONTINUONS !",15.0,0.0,1.0,352.0,30.01,55.0,0.0
02304,La Fère,2.0,LNC,F,VILAIN,Marie-Noëlle,ENSEMBLE CONSTRUISONS L'AVENIR AVEC MARIE-NOELLE VILAIN,18.0,0.0,2.0,249.0,17.98,49.8,0.0
02738,Tergnier,4.0,LDVG,M,CARREAU,Michel,UNE NOUVELLE EQUIPE POUR TERGNIER AVEC MICHEL CARREAU,26.0,0.0,13.0,1748.0,17.34,52.83,1.0
02798,Viels-Maisons,1.0,LNC,M,LEMOINE,Alexandre,UN RENOUVEAU POUR VIELS-MAISONS,11.0,0.0,2.0,184.0,22.33,44.02,0.0
03001,Abrest,3.0,LNC,M,LOPEZ,Romain,Abrest Dynamique,18.0,0.0,2.0,716.0,31.85,57.23,0.0
03040,Bressolles,2.0,LNC,M,MARTIN,René,AVANCONS ENSEMBLE,11.0,0.0,1.0,263.0,27.09,37.52,0.0
03046,Buxières-les-Mines,1.0,LNC,F,BOUNAB,Agnès,2020 TOUS ENSEMBLE POUR BUXIERES,11.0,0.0,2.0,220.0,27.71,37.41,0.0
03185,Montluçon,2.0,LLR,M,LAPORTE,Frédéric,TOUT POUR MONTLUÇON,26.0,0.0,20.0,2654.0,11.77,31.46,0.0
03190,Moulins,1.0,LLR,M,PERISSOL,Pierre-André,"MOULINS AU COEUR, PLUS FORTS ENSEMBLE",25.0,0.0,15.0,2307.0,17.89,48.14,0.0
03315,Villefranche-d'Allier,1.0,LNC,M,FERRIÈRE,Gérard,"Villefranche d'Allier, Villefranche d'Avenir",12.0,0.0,2.0,328.0,36.94,51.17,0.0
04049,Château-Arnoux-Saint-Auban,3.0,LCOM,M,VILLARD,René,COLLECTIF CITOYEN 2020 L'HUMAIN D'ABORD,22.0,0.0,6.0,1103.0,28.66,50.16,1.0
04063,Corbières,3.0,LNC,M,CASTEL,Jean-Claude,VIVRE ENSEMBLE A CORBIÈRES EN PROVENCE,12.0,0.0,1.0,383.0,40.79,58.21,0.0
04070,Digne-les-Bains,4.0,LDVC,F,GRANET-BRUNELLO,Patricia,AMBITIONS POUR DIGNE-LES-BAINS,23.0,0.0,15.0,1699.0,15.7,32.49,0.0
04088,Forcalquier,2.0,LDVD,M,GEHANT,David,NOS VIES NOTRE VILLE,22.0,0.0,10.0,1436.0,36.28,53.19,0.0
04108,Malijai,1.0,LNC,F,FONTAINE,Sonia,ENGAGES POUR MALIJAI,16.0,0.0,2.0,452.0,34.32,60.59,0.0
04112,Manosque,4.0,LDVD,M,GALTIER,Camille,MANOSQUE NOTRE PARTI,23.0,0.0,13.0,2176.0,13.48,31.56,0.0
04143,Oraison,4.0,LDVC,M,GAUVAN,Benoît,ORAISON COEUR DE DURANCE,24.0,0.0,4.0,1250.0,27.22,58.19,0.0
04192,Saint-Michel-l'Observatoire,2.0,LNC,M,GROSSO,Jean-Paul,NOTRE PRIORITÉ C'EST VOUS,12.0,0.0,3.0,327.0,31.47,46.45,0.0
04197,Sainte-Tulle,2.0,LNC,M,QUEIRAS,Jean-Luc,SAINTE TULLE TERRE D'AVENIR,17.0,0.0,2.0,544.0,20.99,39.91,0.0
05006,L'Argentière-la-Bessée,1.0,LNC,M,VIGNE,Patrick,UNE EQUIPE D'AVENIR POUR L'ARGENTIERE LA BESSEE,14.0,0.0,6.0,424.0,25.9,40.11,0.0
05023,Briançon,4.0,LUD,M,MURGIA,Arnaud,DEMAIN BRIANCON,25.0,0.0,13.0,2361.0,27.72,49.0,0.0
05101,Vallouise-Pelvoux,3.0,LNC,M,CONREAUX,Jean,ENSEMBLE POUR L'AVENIR,15.0,0.0,3.0,391.0,33.3,50.45,0.0
05133,Saint-Chaffrey,1.0,LNC,F,CHANFRAY,Corinne,REINVENTONS ST CHAFFREY,13.0,0.0,3.0,325.0,23.67,36.72,0.0
06007,Auribeau-sur-Siagne,1.0,LNC,F,PAGANIN,Michèle,AGISSONS AUTREMENT POUR AURIBEAU,17.0,0.0,2.0,635.0,25.13,43.76,0.0
06010,Le Bar-sur-Loup,2.0,LNC,M,WYSZKOWSKI,François,UN VILLAGE UNE EQUIPE,18.0,0.0,2.0,476.0,23.16,49.28,0.0
06027,Cagnes-sur-Mer,1.0,LLR,M,NÈGRE,Louis,"Pour Cagnes, Louis Negre l'exigence du futur",34.0,0.0,7.0,4739.0,14.05,47.86,0.0
06033,Carros,1.0,LDVD,M,BERNARD,Yannick,CARROS TERRE D'ENERGIES,25.0,0.0,2.0,2278.0,26.06,50.34,0.0
06065,La Gaude,3.0,LDVD,M,BETTATI,Bruno,CONTINUONS ENSEMBLE,25.0,0.0,1.0,1886.0,34.06,66.86,0.0
06067,Gorbio,2.0,LNC,M,COUFFET,Paul,UNE EQUIPE POUR GORBIO,15.0,0.0,1.0,407.0,38.22,52.38,0.0
06083,Menton,4.0,LUD,M,GUIBAL,Jean-Claude,UNIS POUR MENTON,28.0,0.0,14.0,4918.0,22.69,55.7,0.0
06088,Nice,3.0,LDVD,M,ESTROSI,Christian,Christian ESTROSI,56.0,0.0,52.0,34039.0,15.79,59.31,0.0
06095,Peymeinade,2.0,LDIV,M,SAINTE-ROSE FANCHINE,Philippe,"PEYMEINADE 2020, PEYMEINADE NATURELLEMENT",23.0,0.0,4.0,1754.0,26.42,58.1,0.0
